Υ20Χ	           584  	3
Υ21Α	           136  	1
Υ22Μ	        1.471  	7
Υ22Χ	           545  	2
Υ23Μ	        1.564  	8
Υ23Χ	           560  	3
Υ24Α	           389  	2
Υ25Μ	        1.128  	6
Υ25Χ	           405  	2
Υ26Α	           440  	2
Υ27Μ	        1.673  	7
Υ27Χ	           358  	2
Υ28Α	           296  	1 	 
Β01Μ	        3.553  	8
Β01Χ	        2.892  	4
Β02Μ	        1.719  	7
Β02Χ	        1.007  	3
Β03Α	           771  	2
Β04Α	           652  	1
Β05Α	           458  	1
Β06Μ	        1.930  	6
Β06Χ	        1.659  	2
Β10Α	           220  	1
Β20Μ	        1.323  	7
Β20Χ	           413  	2
Β21Α	           459  	2
Β22Α	           545  	3
Β23Α	           316  	1
Β24Α	           296  	1	 	 
Γ01Α	        2.964  	8
Γ04Μ	        2.062  	5
Γ04Χ	        1.525  	3
Γ05Μ	        2.147  	6
Γ05Χ	        1.374  	2
Γ06Μ	        1.649  	4
Γ06Χ	        1.264  	2
Γ07Α	           742  	1
Γ08Α	           719  	1
Γ09Α	           418  	2
Γ10Α	           425  	1
Γ11Α	           729  	3
Γ12Μ	        3.576  	9
Γ12Χ	        1.963  	4
Γ20Μ	        1.969  	9
Γ20Χ	           755  	3
